epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.98856,1.18847,3.62267,1.06988,0.01211,0.8125,0.22752,0.20303,0.46748,3.55599,0.78584,0.000347222,0.000347222,0.000347222
2,15.1661,0.53965,3.32661,0.86503,0.01211,0.8125,0.22752,0.20303,0.46748,3.55599,0.78584,0.000726076,0.000726076,0.000726076
3,22.1313,0.59822,3.33186,0.88007,0.01211,0.8125,0.22752,0.20303,0.46748,3.55599,0.78584,0.00106368,0.00106368,0.00106368
4,29.1738,0.97682,2.85139,1.00873,0.01633,0.9375,0.31379,0.12101,1.12367,3.60546,0.92108,0.00106437,0.00106437,0.00106437
5,36.1273,1.24684,2.64882,1.05432,0.01633,0.9375,0.31379,0.12101,1.12367,3.60546,0.92108,0.0010025,0.0010025,0.0010025
6,43.1721,1.07145,2.53726,0.97783,0.0176,1,0.49695,0.24904,0.91144,3.44701,0.91617,0.000940625,0.000940625,0.000940625
7,50.1794,0.83825,2.15817,1.02291,0.0176,1,0.49695,0.24904,0.91144,3.44701,0.91617,0.00087875,0.00087875,0.00087875
8,57.5012,0.86689,2.21594,1.01719,0.0176,1,0.49695,0.24904,0.91144,3.44701,0.91617,0.000816875,0.000816875,0.000816875
9,64.7513,0.79267,1.90099,0.9641,0.017,1,0.7734,0.51683,0.7632,3.22105,0.86317,0.000755,0.000755,0.000755
10,71.823,0.789,1.79908,0.99087,0.017,1,0.7734,0.51683,0.7632,3.22105,0.86317,0.000693125,0.000693125,0.000693125
11,79.0351,0.76205,1.55604,1.02314,0.99707,0.39675,0.75261,0.56916,0.61712,2.83381,0.8481,0.00063125,0.00063125,0.00063125
12,86.2432,0.65651,1.40567,0.96434,0.99707,0.39675,0.75261,0.56916,0.61712,2.83381,0.8481,0.000569375,0.000569375,0.000569375
13,93.2969,0.63245,1.37332,0.92993,0.99707,0.39675,0.75261,0.56916,0.61712,2.83381,0.8481,0.0005075,0.0005075,0.0005075
14,100.548,0.60571,1.37985,0.90607,0.97828,0.6492,0.96341,0.7979,0.59531,2.36613,0.86953,0.000445625,0.000445625,0.000445625
15,107.377,0.60149,1.26399,0.91629,0.97828,0.6492,0.96341,0.7979,0.59531,2.36613,0.86953,0.00038375,0.00038375,0.00038375
16,114.278,0.56946,1.23756,0.89269,0.96988,0.69667,0.979,0.85814,0.51315,2.06561,0.86729,0.000321875,0.000321875,0.000321875
17,121.306,0.49439,1.15429,0.86998,0.96988,0.69667,0.979,0.85814,0.51315,2.06561,0.86729,0.00026,0.00026,0.00026
18,128.257,0.50071,1.18995,0.88009,0.96988,0.69667,0.979,0.85814,0.51315,2.06561,0.86729,0.000198125,0.000198125,0.000198125
19,135.138,0.50283,1.15511,0.88819,0.95685,0.9149,0.995,0.9094,0.45137,1.6819,0.86477,0.00013625,0.00013625,0.00013625
20,142.088,0.49793,1.12849,0.86495,0.95685,0.9149,0.995,0.9094,0.45137,1.6819,0.86477,7.4375e-05,7.4375e-05,7.4375e-05
